,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,combined_cols
854,Where Eagles Dare,"Action, Adventure, War","Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",Brian G. Hutton,Richard Burton,Clint Eastwood,Mary Ure,Patrick Wymark,eagles dare action adventure war allied agents stage daring raid castle nazis holding american brigadier general george carnaby prisoner really going brian g hutton richard burton clint eastwood mary ure patrick wymark
855,The Odd Couple,Comedy,"Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day.",Gene Saks,Jack Lemmon,Walter Matthau,John Fiedler,Herb Edelman,odd couple comedy two friends try sharing apartment ideas housekeeping lifestyles different night day gene saks jack lemmon walter matthau john fiedler herb edelman
856,The Dirty Dozen,"Action, Adventure, War","During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",Robert Aldrich,Lee Marvin,Ernest Borgnine,Charles Bronson,John Cassavetes,dirty dozen action adventure war world war ii rebellious u army major assigned dozen convicted murderers train lead mass assassination mission german officers robert aldrich lee marvin ernest borgnine charles bronson john cassavetes
857,Belle de jour,"Drama, Romance",A frigid young housewife decides to spend her midweek afternoons as a prostitute.,Luis Buñuel,Catherine Deneuve,Jean Sorel,Michel Piccoli,Geneviève Page,belle de jour drama romance frigid young housewife decides spend midweek afternoons prostitute luis bu uel catherine deneuve jean sorel michel piccoli genevi page
858,A Man for All Seasons,"Biography, Drama, History","The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",Fred Zinnemann,Paul Scofield,Wendy Hiller,Robert Shaw,Leo McKern,man seasons biography drama history story sir thomas stood king henry viii king rejected roman catholic church obtain divorce remarry fred zinnemann paul scofield wendy hiller robert shaw leo mckern
859,Repulsion,"Drama, Horror, Thriller",A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,Roman Polanski,Catherine Deneuve,Ian Hendry,John Fraser,Yvonne Furneaux,repulsion drama horror thriller sex repulsed woman disapproves sister boyfriend sinks depression horrific visions rape violence roman polanski catherine deneuve ian hendry john fraser yvonne furneaux
860,Zulu,"Drama, History, War",Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,Cy Endfield,Stanley Baker,Jack Hawkins,Ulla Jacobsson,James Booth,zulu drama history war outnumbered british soldiers battle zulu warriors rorke drift cy endfield stanley baker jack hawkins ulla jacobsson james booth
861,Goldfinger,"Action, Adventure, Thriller","While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",Guy Hamilton,Sean Connery,Gert Fröbe,Honor Blackman,Shirley Eaton,goldfinger action adventure thriller investigating gold magnate smuggling james bond uncovers plot contaminate fort knox gold reserve guy hamilton sean connery gert fr honor blackman shirley eaton
862,The Birds,"Drama, Horror, Mystery",A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,Alfred Hitchcock,Rod Taylor,Tippi Hedren,Jessica Tandy,Suzanne Pleshette,birds drama horror mystery wealthy san francisco socialite pursues potential boyfriend small northern california town slowly takes turn bizarre birds kinds suddenly begin attack people alfred hitchcock rod taylor tippi hedren jessica tandy suzanne pleshette
863,Cape Fear,"Drama, Thriller",A lawyer's family is stalked by a man he once helped put in jail.,J. Lee Thompson,Gregory Peck,Robert Mitchum,Polly Bergen,Lori Martin,cape fear drama thriller lawyer family stalked man helped put jail j lee thompson gregory peck robert mitchum polly bergen lori martin
864,Peeping Tom,"Drama, Horror, Thriller","A young man murders women, using a movie camera to film their dying expressions of terror.",Michael Powell,Karlheinz Böhm,Anna Massey,Moira Shearer,Maxine Audley,peeping tom drama horror thriller young man murders women using movie camera film dying expressions terror michael powell karlheinz b hm anna massey moira shearer maxine audley
865,The Magnificent Seven,"Action, Adventure, Western",Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,John Sturges,Yul Brynner,Steve McQueen,Charles Bronson,Eli Wallach,magnificent seven action adventure western seven gunfighters hired mexican peasants liberate village oppressive bandits john sturges yul brynner steve mcqueen charles bronson eli wallach
866,Les yeux sans visage,"Drama, Horror","A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face.",Georges Franju,Pierre Brasseur,Alida Valli,Juliette Mayniel,Alexandre Rignault,les yeux sans visage drama horror surgeon causes accident leaves daughter disfigured goes extremes give new face georges franju pierre brasseur alida valli juliette mayniel alexandre rignault
867,Invasion of the Body Snatchers,"Drama, Horror, Sci-Fi",A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,Don Siegel,Kevin McCarthy,Dana Wynter,Larry Gates,King Donovan,invasion body snatchers drama horror sci fi small town doctor learns population community replaced emotionless alien duplicates siegel kevin mccarthy dana wynter larry gates king donovan
868,Rebel Without a Cause,Drama,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",Nicholas Ray,James Dean,Natalie Wood,Sal Mineo,Jim Backus,rebel without cause drama rebellious young man troubled past comes new town finding friends enemies nicholas ray james dean natalie wood sal mineo jim backus
869,The Ladykillers,"Comedy, Crime",Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,Alexander Mackendrick,Alec Guinness,Peter Sellers,Cecil Parker,Herbert Lom,ladykillers comedy crime five oddball criminals planning bank robbery rent rooms cul de sac octogenarian widow pretext classical musicians alexander mackendrick alec guinness peter sellers cecil parker herbert lom
870,Sabrina,"Comedy, Drama, Romance","A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",Billy Wilder,Humphrey Bogart,Audrey Hepburn,William Holden,Walter Hampden,sabrina comedy drama romance playboy becomes interested daughter family chauffeur serious brother would better man billy wilder humphrey bogart audrey hepburn william holden walter hampden
871,The Quiet Man,"Comedy, Drama, Romance","A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",John Ford,John Wayne,Maureen O'Hara,Barry Fitzgerald,Ward Bond,quiet man comedy drama romance retired american boxer returns village birth ireland falls spirited redhead whose brother contemptuous union john ford john wayne maureen hara barry fitzgerald ward bond
872,The Day the Earth Stood Still,"Drama, Sci-Fi",An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.,Robert Wise,Michael Rennie,Patricia Neal,Hugh Marlowe,Sam Jaffe,day earth stood still drama sci fi alien lands tells people earth must live peacefully destroyed danger planets robert wise michael rennie patricia neal hugh marlowe sam jaffe
873,The African Queen,"Adventure, Drama, Romance","In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",John Huston,Humphrey Bogart,Katharine Hepburn,Robert Morley,Peter Bull,african queen adventure drama romance wwi africa gin swilling riverboat captain persuaded strait laced missionary use boat attack enemy warship john huston humphrey bogart katharine hepburn robert morley peter bull
874,Gilda,"Drama, Film-Noir, Romance",A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,Charles Vidor,Rita Hayworth,Glenn Ford,George Macready,Joseph Calleia,gilda drama film noir romance small time gambler hired work buenos aires casino discovers employer new wife former lover charles vidor rita hayworth glenn ford george macready joseph calleia
875,Fantasia,"Animation, Family, Fantasy",A collection of animated interpretations of great works of Western classical music.,James Algar,Samuel Armstrong,Ford Beebe Jr.,Norman Ferguson,David Hand,fantasia animation family fantasy collection animated interpretations great works western classical music james algar samuel armstrong ford beebe jr norman ferguson david hand
876,The Invisible Man,"Horror, Sci-Fi","A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",James Whale,Claude Rains,Gloria Stuart,William Harrigan,Henry Travers,invisible man horror sci fi scientist finds way becoming invisible becomes murderously insane james whale claude rains gloria stuart william harrigan henry travers
877,Dark Waters,"Biography, Drama, History",A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,Todd Haynes,Mark Ruffalo,Anne Hathaway,Tim Robbins,Bill Pullman,dark waters biography drama history corporate defense attorney takes environmental lawsuit chemical company exposes lengthy history pollution todd haynes mark ruffalo anne hathaway tim robbins bill pullman
878,Searching,"Drama, Mystery, Thriller","After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",Aneesh Chaganty,John Cho,Debra Messing,Joseph Lee,Michelle La,searching drama mystery thriller teenage daughter goes missing desperate father tries find clues laptop aneesh chaganty john cho debra messing joseph lee michelle la
879,Once Upon a Time... in Hollywood,"Comedy, Drama",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch,upon time hollywood comedy drama faded television actor stunt double strive achieve fame success final years hollywood golden age 1969 los angeles quentin tarantino leonardo dicaprio brad pitt margot robbie emile hirsch
880,Nelyubov,Drama,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,Andrey Zvyagintsev,Maryana Spivak,Aleksey Rozin,Matvey Novikov,Marina Vasileva,nelyubov drama couple going divorce must team find son disappeared one bitter arguments andrey zvyagintsev maryana spivak aleksey rozin matvey novikov marina vasileva
881,The Florida Project,Drama,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",Sean Baker,Brooklynn Prince,Bria Vinaite,Willem Dafoe,Christopher Rivera,florida project drama set one summer film follows precocious six year old moonee courts mischief adventure ragtag playmates bonds rebellious caring mother living shadows walt disney world sean baker brooklynn prince bria vinaite willem dafoe christopher rivera
882,Just Mercy,"Biography, Crime, Drama",World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,Destin Daniel Cretton,Michael B. Jordan,Jamie Foxx,Brie Larson,Charlie Pye Jr.,mercy biography crime drama world renowned civil rights defense attorney bryan stevenson works free wrongly condemned death row prisoner destin daniel cretton michael b jordan jamie foxx brie larson charlie pye jr
883,Gifted,Drama,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",Marc Webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer,gifted drama frank single man raising child prodigy niece mary drawn custody battle mother marc webb chris evans mckenna grace lindsay duncan octavia spencer
884,The Peanut Butter Falcon,"Adventure, Comedy, Drama",Zak runs away from his care home to make his dream of becoming a wrestler come true.,Tyler Nilson,Michael Schwartz,Zack Gottsagen,Ann Owens,Dakota Johnson,peanut butter falcon adventure comedy drama zak runs away care home make dream becoming wrestler come true tyler nilson michael schwartz zack gottsagen ann owens dakota johnson
885,Victoria,"Crime, Drama, Romance",A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,Sebastian Schipper,Laia Costa,Frederick Lau,Franz Rogowski,Burak Yigit,victoria crime drama romance young spanish woman recently moved berlin finds flirtation local guy turn potentially deadly night friends reveals dangerous secret sebastian schipper laia costa frederick lau franz rogowski burak yigit
886,Mustang,Drama,"When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged.",Deniz Gamze Ergüven,Günes Sensoy,Doga Zeynep Doguslu,Tugba Sunguroglu,Elit Iscan,mustang drama five orphan girls seen innocently playing boys beach scandalized conservative guardians confine forced marriages arranged deniz gamze erg ven g nes sensoy doga zeynep doguslu tugba sunguroglu elit iscan
887,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,guardians galaxy vol 2 action adventure comedy guardians struggle keep together team dealing personal family issues notably star lord encounter father ambitious celestial ego james gunn chris pratt zoe saldana dave bautista vin diesel
888,Baby Driver,"Action, Crime, Drama","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González,baby driver action crime drama coerced working crime boss young getaway driver finds taking part heist doomed fail edgar wright ansel elgort jon bernthal jon hamm eiza gonz lez
889,Only the Brave,"Action, Biography, Drama","Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",Joseph Kosinski,Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly,brave action biography drama based true story granite mountain hotshots group elite firefighters risk everything protect town historic wildfire joseph kosinski josh brolin miles teller jeff bridges jennifer connelly
890,Bridge of Spies,"Drama, History, Thriller","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Steven Spielberg,Tom Hanks,Mark Rylance,Alan Alda,Amy Ryan,bridge spies drama history thriller cold war american lawyer recruited defend arrested soviet spy court help cia facilitate exchange spy soviet captured american u2 spy plane pilot francis gary powers steven spielberg tom hanks mark rylance alan alda amy ryan
891,Incredibles 2,"Animation, Action, Adventure",The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner,incredibles 2 animation action adventure incredibles family takes new mission involves change family roles bob parr mr incredible must manage house wife helen elastigirl goes save world brad bird craig nelson holly hunter sarah vowell huck milner
892,Moana,"Animation, Adventure, Comedy","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",Ron Clements,John Musker,Don Hall,Chris Williams,Auli'i Cravalho,moana animation adventure comedy ancient polynesia terrible curse incurred demigod maui reaches moana island answers ocean call seek demigod set things right ron clements john musker hall chris williams auli cravalho
893,Sicario,"Action, Crime, Drama",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Denis Villeneuve,Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal,sicario action crime drama idealistic fbi agent enlisted government task force aid escalating war drugs border area u mexico denis villeneuve emily blunt josh brolin benicio del toro jon bernthal
894,Creed,"Drama, Sport","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Ryan Coogler,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,creed drama sport former world heavyweight champion rocky balboa serves trainer mentor adonis johnson son late friend former rival apollo creed ryan coogler michael b jordan sylvester stallone tessa thompson phylicia rashad
895,Leviafan,"Crime, Drama","In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",Andrey Zvyagintsev,Aleksey Serebryakov,Elena Lyadova,Roman Madyanov,Vladimir Vdovichenkov,leviafan crime drama russian coastal town kolya forced fight corrupt mayor told house demolished recruits lawyer friend help man arrival brings misfortune kolya family andrey zvyagintsev aleksey serebryakov elena lyadova roman madyanov vladimir vdovichenkov
896,Hell or High Water,"Action, Crime, Drama",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,David Mackenzie,Chris Pine,Ben Foster,Jeff Bridges,Gil Birmingham,hell high water action crime drama divorced father ex con older brother resort desperate scheme order save family ranch west texas david mackenzie chris pine ben foster jeff bridges gil birmingham
897,Philomena,"Biography, Comedy, Drama","A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",Stephen Frears,Judi Dench,Steve Coogan,Sophie Kennedy Clark,Mare Winningham,philomena biography comedy drama world weary political journalist picks story woman search son taken away decades ago became pregnant forced live convent stephen frears judi dench steve coogan sophie kennedy clark mare winningham
898,Dawn of the Planet of the Apes,"Action, Adventure, Drama",A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,Matt Reeves,Gary Oldman,Keri Russell,Andy Serkis,Kodi Smit-McPhee,dawn planet apes action adventure drama growing nation genetically evolved apes led caesar threatened band human survivors devastating virus unleashed decade earlier matt reeves gary oldman keri russell andy serkis kodi smit mcphee
899,El cuerpo,"Mystery, Thriller",A detective searches for the body of a femme fatale which has gone missing from a morgue.,Oriol Paulo,Jose Coronado,Hugo Silva,Belén Rueda,Aura Garrido,el cuerpo mystery thriller detective searches body femme fatale gone missing morgue oriol paulo jose coronado hugo silva bel n rueda aura garrido
900,Serbuan maut,"Action, Thriller",A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Gareth Evans,Iko Uwais,Ananda George,Ray Sahetapy,Donny Alamsyah,serbuan maut action thriller w team becomes trapped tenement run ruthless mobster army killers thugs gareth evans iko uwais ananda george ray sahetapy donny alamsyah
901,End of Watch,"Action, Crime, Drama","Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",David Ayer,Jake Gyllenhaal,Michael Peña,Anna Kendrick,America Ferrera,end watch action crime drama shot documentary style film follows daily grind two young police officers la partners friends happens meet criminal forces greater david ayer jake gyllenhaal michael pe anna kendrick america ferrera
902,Kari-gurashi no Arietti,"Animation, Adventure, Family","The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered.",Hiromasa Yonebayashi,Amy Poehler,Mirai Shida,Ryûnosuke Kamiki,Tatsuya Fujiwara,kari gurashi arietti animation adventure family clock family four inch tall people live anonymously another family residence borrowing simple items make home life changes clocks teenage daughter arrietty discovered hiromasa yonebayashi amy poehler mirai shida ry nosuke kamiki tatsuya fujiwara
903,A Star Is Born,"Drama, Music, Romance",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,Bradley Cooper,Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg,star born drama music romance musician helps young singer find fame age alcoholism send career downward spiral bradley cooper lady gaga bradley cooper sam elliott greg grunberg
904,True Grit,"Drama, Western",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Ethan Coen,Joel Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld,true grit drama western stubborn teenager enlists help tough u marshal track father murderer ethan coen joel coen jeff bridges matt damon hailee steinfeld
905,Hævnen,"Drama, Romance","The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",Susanne Bier,Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Wil Johnson,h vnen drama romance lives two danish families cross extraordinary risky friendship comes bud loneliness frailty sorrow lie wait susanne bier mikael persbrandt trine dyrholm markus rygaard wil johnson
906,Despicable Me,"Animation, Comedy, Crime","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Pierre Coffin,Chris Renaud,Steve Carell,Jason Segel,Russell Brand,despicable animation comedy crime criminal mastermind uses trio orphan girls pawns grand scheme finds love profoundly changing better pierre coffin chris renaud steve carell jason segel russell brand
907,50/50,"Comedy, Drama, Romance","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Bryce Dallas Howard,50 50 comedy drama romance inspired true story comedy centered 27 year old guy learns cancer diagnosis subsequent struggle beat disease jonathan levine joseph gordon levitt seth rogen anna kendrick bryce dallas howard
908,Kick-Ass,"Action, Comedy, Crime","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",Matthew Vaughn,Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,Garrett M. Brown,kick ass action comedy crime dave lizewski unnoticed high school student comic book fan one day decides become superhero even though powers training meaningful reason matthew vaughn aaron taylor johnson nicolas cage chlo grace moretz garrett brown
909,Celda 211,"Action, Adventure, Crime","The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",Daniel Monzón,Luis Tosar,Alberto Ammann,Antonio Resines,Manuel Morón,celda 211 action adventure crime story two men different sides prison riot inmate leading rebellion young guard trapped revolt poses prisoner desperate attempt survive ordeal daniel monz n luis tosar alberto ammann antonio resines manuel mor n
910,Moneyball,"Biography, Drama, Sport",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,Bennett Miller,Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman,moneyball biography drama sport oakland general manager billy beane successful attempt assemble baseball team lean budget employing computer generated analysis acquire new players bennett miller brad pitt robin wright jonah hill philip seymour hoffman
911,La piel que habito,"Drama, Horror, Thriller","A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",Pedro Almodóvar,Antonio Banderas,Elena Anaya,Jan Cornet,Marisa Paredes,la piel que habito drama horror thriller brilliant plastic surgeon haunted past tragedies creates type synthetic skin withstands kind damage guinea pig mysterious volatile woman holds key obsession pedro almod var antonio banderas elena anaya jan cornet marisa paredes
912,Zombieland,"Adventure, Comedy, Fantasy","A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",Ruben Fleischer,Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin,zombieland adventure comedy fantasy shy student trying reach family ohio gun toting tough guy trying find last twinkie pair sisters trying get amusement park join forces travel across zombie filled america ruben fleischer jesse eisenberg emma stone woody harrelson abigail breslin
913,Die Welle,"Drama, Thriller",A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.,Dennis Gansel,Jürgen Vogel,Frederick Lau,Max Riemelt,Jennifer Ulrich,die welle drama thriller high school teacher experiment demonstrate students life like dictatorship spins horribly control forms social unit life dennis gansel j rgen vogel frederick lau max riemelt jennifer ulrich
914,Sherlock Holmes,"Action, Adventure, Mystery",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong,sherlock holmes action adventure mystery detective sherlock holmes stalwart partner watson engage battle wits brawn nemesis whose plot threat england guy ritchie robert downey jr jude law rachel mcadams mark strong
915,The Blind Side,"Biography, Drama, Sport","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim McGraw,Jae Head,blind side biography drama sport story michael oher homeless traumatized boy became american football player first round nfl draft pick help caring woman family john lee hancock quinton aaron sandra bullock tim mcgraw jae head
916,The Visitor,Drama,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,Tom McCarthy,Richard Jenkins,Haaz Sleiman,Danai Gurira,Hiam Abbass,visitor drama college professor travels new york city attend conference finds young couple living apartment tom mccarthy richard jenkins haaz sleiman danai gurira hiam abbass
917,Seven Pounds,Drama,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,Gabriele Muccino,Will Smith,Rosario Dawson,Woody Harrelson,Michael Ealy,seven pounds drama man fateful secret embarks extraordinary journey redemption forever changing lives seven strangers gabriele muccino smith rosario dawson woody harrelson michael ealy
918,Eastern Promises,"Action, Crime, Drama",A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,David Cronenberg,Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl,Josef Altin,eastern promises action crime drama teenager dies childbirth leaves clues journal could tie child rape involving violent russian mob family david cronenberg naomi watts viggo mortensen armin mueller stahl josef altin
919,Stardust,"Adventure, Family, Fantasy","In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Matthew Vaughn,Charlie Cox,Claire Danes,Sienna Miller,Ian McKellen,stardust adventure family fantasy countryside town bordering magical land young man makes promise beloved retrieve fallen star venturing magical realm matthew vaughn charlie cox claire danes sienna miller ian mckellen
920,The Secret of Kells,"Animation, Adventure, Family","A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",Tomm Moore,Nora Twomey,Evan McGuire,Brendan Gleeson,Mick Lally,secret kells animation adventure family young boy remote medieval outpost siege barbarian raids beckoned adventure celebrated master illuminator arrives ancient book brimming secret wisdom powers tomm moore nora twomey evan mcguire brendan gleeson mick lally
921,Inside Man,"Crime, Drama, Mystery","A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",Spike Lee,Denzel Washington,Clive Owen,Jodie Foster,Christopher Plummer,inside man crime drama mystery police detective bank robber high power broker enter high stakes negotiations criminal brilliant heist spirals hostage situation spike lee denzel washington clive owen jodie foster christopher plummer
922,Gone Baby Gone,"Crime, Drama, Mystery","Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",Ben Affleck,Morgan Freeman,Ed Harris,Casey Affleck,Michelle Monaghan,gone baby gone crime drama mystery two boston area detectives investigate little girl kidnapping ultimately turns crisis professionally personally ben affleck morgan freeman ed harris casey affleck michelle monaghan
923,La Vie En Rose,"Biography, Drama, Music","Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",Olivier Dahan,Marion Cotillard,Sylvie Testud,Pascal Greggory,Emmanuelle Seigner,la vie en rose biography drama music biopic iconic french singer dith piaf raised grandmother brothel discovered singing street corner age 19 despite success piaf life filled tragedy olivier dahan marion cotillard sylvie testud pascal greggory emmanuelle seigner
924,Huo Yuan Jia,"Action, Biography, Drama","A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.",Ronny Yu,Jet Li,Li Sun,Yong Dong,Yun Qu,huo yuan jia action biography drama biography chinese martial arts master huo yuanjia founder spiritual guru jin wu sports federation ronny yu jet li li sun yong dong yun qu
925,The Illusionist,"Drama, Fantasy, Mystery","In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",Neil Burger,Edward Norton,Jessica Biel,Paul Giamatti,Rufus Sewell,illusionist drama fantasy mystery turn century vienna magician uses abilities secure love woman far social standing neil burger edward norton jessica biel paul giamatti rufus sewell
926,Dead Man's Shoes,"Crime, Drama, Thriller",A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.,Shane Meadows,Paddy Considine,Gary Stretch,Toby Kebbell,Stuart Wolfenden,dead man shoes crime drama thriller disaffected soldier returns hometown get even thugs brutalized mentally challenged brother years ago shane meadows paddy considine gary stretch toby kebbell stuart wolfenden
927,Harry Potter and the Half-Blood Prince,"Action, Adventure, Family","As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,harry potter half blood prince action adventure family harry potter begins sixth year hogwarts discovers old book marked property half blood prince begins learn lord voldemort dark past david yates daniel radcliffe emma watson rupert grint michael gambon
928,300,"Action, Drama",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Zack Snyder,Gerard Butler,Lena Headey,David Wenham,Dominic West,300 action drama king leonidas sparta force 300 men fight persians thermopylae 480 b c zack snyder gerard butler lena headey david wenham dominic west
