,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,combined_cols
608,Chugyeokja,"Action, Crime, Thriller",A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,Hong-jin Na,Kim Yoon-seok,Jung-woo Ha,Yeong-hie Seo,Yoo-Jeong Kim,chugyeokja action crime thriller disgraced ex policeman runs small ring prostitutes finds race time one women goes missing hong jin na kim yoon seok jung woo ha yeong hie seo yoo jeong kim
609,The Hobbit: The Desolation of Smaug,"Adventure, Fantasy","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott,hobbit desolation smaug adventure fantasy dwarves along bilbo baggins gandalf grey continue quest reclaim erebor homeland smaug bilbo baggins possession mysterious magical ring peter jackson ian mckellen martin freeman richard armitage ken stott
610,Das weiße Band - Eine deutsche Kindergeschichte,"Drama, History, Mystery","Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?",Michael Haneke,Christian Friedel,Ernst Jacobi,Leonie Benesch,Ulrich Tukur,das wei e band eine deutsche kindergeschichte drama history mystery strange events happen small village north germany years world war seem ritual punishment responsible michael haneke christian friedel ernst jacobi leonie benesch ulrich tukur
611,Män som hatar kvinnor,"Crime, Drama, Mystery",A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,Niels Arden Oplev,Michael Nyqvist,Noomi Rapace,Ewa Fröling,Lena Endre,n som hatar kvinnor crime drama mystery journalist aided young female hacker search killer woman dead forty years niels arden oplev michael nyqvist noomi rapace ewa fr ling lena endre
612,The Trial of the Chicago 7,"Drama, History, Thriller","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",Aaron Sorkin,Eddie Redmayne,Alex Sharp,Sacha Baron Cohen,Jeremy Strong,trial chicago 7 drama history thriller story 7 people trial stemming various charges surrounding uprising 1968 democratic national convention chicago illinois aaron sorkin eddie redmayne alex sharp sacha baron cohen jeremy strong
613,Druk,"Comedy, Drama","Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood.",Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Magnus Millang,Lars Ranthe,druk comedy drama four friends high school teachers test theory improve lives maintaining constant level alcohol blood thomas vinterberg mads mikkelsen thomas bo larsen magnus millang lars ranthe
614,The Fighter,"Biography, Drama, Sport","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",David O. Russell,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,fighter biography drama sport based story micky ward fledgling boxer tries escape shadow famous troubled older boxing brother get shot greatness david russell mark wahlberg christian bale amy adams melissa leo
615,Taken,"Action, Thriller","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",Pierre Morel,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser,taken action thriller retired cia agent travels across europe relies old skills save estranged daughter kidnapped trip paris pierre morel liam neeson maggie grace famke janssen leland orser
616,The Boy in the Striped Pyjamas,"Drama, History, War","Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",Mark Herman,Asa Butterfield,David Thewlis,Rupert Friend,Zac Mattoon O'Brien,boy striped pyjamas drama history war innocent eyes bruno eight year old son commandant german concentration camp forbidden friendship jewish boy side camp fence startling unexpected consequences mark herman asa butterfield david thewlis rupert friend zac mattoon brien
617,Once,"Drama, Music, Romance","A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",John Carney,Glen Hansard,Markéta Irglová,Hugh Walsh,Gerard Hendrick,drama music romance modern day musical busker immigrant eventful week dublin write rehearse record songs tell love story john carney glen hansard mark ta irglov hugh walsh gerard hendrick
618,The Hobbit: An Unexpected Journey,"Adventure, Fantasy","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,hobbit unexpected journey adventure fantasy reluctant hobbit bilbo baggins sets lonely mountain spirited group dwarves reclaim mountain home gold within dragon smaug peter jackson martin freeman ian mckellen richard armitage andy serkis
619,Auf der anderen Seite,Drama,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.,Fatih Akin,Baki Davrak,Nurgül Yesilçay,Tuncel Kurtiz,Nursel Köse,auf der anderen seite drama turkish man travels istanbul find daughter father former girlfriend fatih akin baki davrak nurg l yesil ay tuncel kurtiz nursel k se
620,Atonement,"Drama, Mystery, Romance",Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,Joe Wright,Keira Knightley,James McAvoy,Brenda Blethyn,Saoirse Ronan,atonement drama mystery romance thirteen year old fledgling writer briony tallis irrevocably changes course several lives accuses older sister lover crime commit joe wright keira knightley james mcavoy brenda blethyn saoirse ronan
621,Drive,"Crime, Drama",A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.,Nicolas Winding Refn,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,drive crime drama mysterious hollywood stuntman mechanic moonlights getaway driver finds trouble helps neighbor nicolas winding refn ryan gosling carey mulligan bryan cranston albert brooks
622,American Gangster,"Biography, Crime, Drama","An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",Ridley Scott,Denzel Washington,Russell Crowe,Chiwetel Ejiofor,Josh Brolin,american gangster biography crime drama outcast new york city cop charged bringing harlem drug lord frank lucas whose real life inspired partly biographical film ridley scott denzel washington russell crowe chiwetel ejiofor josh brolin
623,Avatar,"Action, Adventure, Fantasy",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,avatar action adventure fantasy paraplegic marine dispatched moon pandora unique mission becomes torn following orders protecting world feels home james cameron sam worthington zoe saldana sigourney weaver michelle rodriguez
624,Mr. Nobody,"Drama, Fantasy, Romance","A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",Jaco Van Dormael,Jared Leto,Sarah Polley,Diane Kruger,Linh Dan Pham,mr nobody drama fantasy romance boy stands station platform train leave go mother stay father infinite possibilities arise decision long choose anything possible jaco van dormael jared leto sarah polley diane kruger linh dan pham
625,Apocalypto,"Action, Adventure, Drama","As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Mel Gibson,Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,Rudy Youngblood,apocalypto action adventure drama mayan kingdom faces decline young man taken perilous journey world ruled fear oppression mel gibson gerardo taracena raoul max trujillo dalia hern ndez rudy youngblood
626,Little Miss Sunshine,"Comedy, Drama",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,Jonathan Dayton,Valerie Faris,Steve Carell,Toni Collette,Greg Kinnear,little miss sunshine comedy drama family determined get young daughter finals beauty pageant take cross country trip vw bus jonathan dayton valerie faris steve carell toni collette greg kinnear
627,Hot Fuzz,"Action, Comedy, Mystery",A skilled London police officer is transferred to a small town with a dark secret.,Edgar Wright,Simon Pegg,Nick Frost,Martin Freeman,Bill Nighy,hot fuzz action comedy mystery skilled london police officer transferred small town dark secret edgar wright simon pegg nick frost martin freeman bill nighy
628,The Curious Case of Benjamin Button,"Drama, Fantasy, Romance","Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton,Julia Ormond,curious case benjamin button drama fantasy romance tells story benjamin button man starts aging backwards consequences david fincher brad pitt cate blanchett tilda swinton julia ormond
629,Veer-Zaara,"Drama, Family, Musical","Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",Yash Chopra,Shah Rukh Khan,Preity Zinta,Rani Mukerji,Kirron Kher,veer zaara drama family musical veer zaara saga love separation courage sacrifice love story inspiration remain legend forever yash chopra shah rukh khan preity zinta rani mukerji kirron kher
630,Adams æbler,"Comedy, Crime, Drama",A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.,Anders Thomas Jensen,Ulrich Thomsen,Mads Mikkelsen,Nicolas Bro,Paprika Steen,adams bler comedy crime drama neo nazi sentenced community service church clashes blindly devotional priest anders thomas jensen ulrich thomsen mads mikkelsen nicolas bro paprika steen
631,Pride & Prejudice,"Drama, Romance","Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",Joe Wright,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,Donald Sutherland,pride prejudice drama romance sparks fly spirited elizabeth bennet meets single rich proud mr darcy mr darcy reluctantly finds falling love woman beneath class overcome pride prejudice joe wright keira knightley matthew macfadyen brenda blethyn donald sutherland
